,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.4.NmC1,2189,13,37.787630416427724,,,,*,*,*
A.D.4.NmC3,1653,1,30.06217850594046,17.505117123215026,78.98976575356994,1.5500169044158318e-09,,,
A.3.1,1992,42,14.279115074748193,-175.26224438006093,464.52448876012187,2.9755046309036758e-93,,,
A.3.1.NmC1,266,57,7.551960681240775,-308.68667594150355,731.3733518830071,3.3714706441683914e-151,,,
A.3.1.1,731,52,7.007559324061898,-91.69539805755907,297.3907961151182,5.826114436134669e-57,,,
