,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.D.1,334,3,1.8933188397014633,,,,*,*,*
B.D.4.NmC1,0,10,1.3126302525222178,1.1231876918852546,19.75362461622949,0.7011734432085721,*,,
