,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC5,1745,24,4.920624978565392,,,,*,*,*
A.1.NmC14,72,132,0.7214431593644068,-157.8013785300473,689.6027570600945,3.391006213768329e-72,,,
A.1,3213,146,0.6232282276172681,-73.27061899101336,520.5412379820267,1.7427742756435743e-35,,,
A.1.NmC7,1060,147,-5.652183320357402,-81.7482361864585,537.496472372917,3.6176282326789656e-39,,,
A.1.NmC3,406,131,-8.268064728299931,-209.9125573901708,793.8251147803417,7.889902950255859e-95,,,
A.1.NmC9,215,146,-9.97455266694282,-199.14179681330907,772.2835936266181,3.7721999390005292e-90,,,
A.1.NmC8,84,146,-9.97455266694282,-229.18207680742353,832.364153614847,3.391473807488021e-103,,,
A.1.NmC6,294,146,-9.97455266694282,-191.24520548966086,756.4904109793217,1.012394176488564e-86,,,
A.1.NmC2,1989,146,-9.97455266694282,-186.2125752529324,746.4251505058648,1.5482849144589653e-84,,,
A.1.NmC11,114,146,-9.97455266694282,-244.4362836183435,862.872567236687,8.039446434137248e-110,,,
