case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
1	Unknown_ID	1	107	XCJ	N/A	N/A	1-21,23-107	21-23	XBB.1.5 + GM.3	<<	N/A	22-23	N/A	1.81e-31	3.51e-45	[], []
2	Unknown_ID	319	71	XG	N/A	N/A	1-6,7-71		BA.1.17 + BA.2.7	<<	N/A	6-7	N/A	1.40e-244	3.39e-64	[], []
3	Unknown_ID	188	64	XM	N/A	N/A	1-14,15-64		BA.1.1.6 + BA.2.27	<<	N/A	14-15	N/A	5.32e-252	9.40e-209	[], []
6	Unknown_ID	58	108	XCV	N/A	N/A	1-89,91-108	89-91	EG.5.1 + XBB.1.16.11	>>	N/A	89-90	N/A	7.19e-30	1.03e-91	[], []
7	Unknown_ID	71	106	XCL	N/A	N/A	1-17,18-106		XBB.1.5.68 + GK.2.1	<<	N/A	17-18	N/A	5.50e-120	2.14e-68	[], []
8	Unknown_ID	11	69	XD	N/A	N/A	1-25,26-54,55-69	25-55 -> 	AY.4 + BA.1.19 + AY.4	>>	N/A	25-26, 54-55	N/A	1.23e-170	0.00e+00	[], []
9	Unknown_ID	23	68	XS	N/A	N/A	1-10,11-68		AY.126 + BA.1.1	<<	N/A	10-11	N/A	0.00e+00	8.72e-68	[], []
10	Unknown_ID	73	74	XAM	N/A	N/A	1-6,7-74		BA.1.1.9 + BA.2.9	<<	N/A	6-7	N/A	0.00e+00	1.02e-51	[], []
11	Unknown_ID	9	145	XFP	N/A	N/A	1-115,117-145	115-117	XFJ.3 + JN.1.7.5	>>	N/A	116-117	N/A	1.63e-51	1.58e-114	[], []
12	Unknown_ID	30	70	XAF	N/A	N/A	1-9,12-70	9-12	BA.1.1.9 + BA.2.9	<<	N/A	9-10	N/A	1.28e-271	1.64e-112	[], []
14	Unknown_ID	20	64	XF	N/A	N/A	1-3,7-64	3-7	AY.4.2 + BA.1.16	<<	N/A	6-7	N/A	0.00e+00	1.13e-40	[], []
16	Unknown_ID	150	118	XDK	N/A	N/A	1-8,9-118		XDK.5 + JN.1.1.1	<<	N/A	8-9	N/A	3.71e-18	2.25e-52	[], []
17	Unknown_ID	2	101	XDH	N/A	N/A	1-43,44-101		BN.1.2.3 + XBB.1.9.1	<<	N/A	43-44	N/A	1.44e-72	2.51e-205	[], []
18	Unknown_ID	41	66	XAP	N/A	N/A	1-55,56-66		BA.2 + BA.1.23	>>	N/A	55-56	N/A	8.22e-47	2.37e-322	[], []
20	Unknown_ID	60	65	XAL	N/A	N/A	1-15,16-65		BA.1.1 + BA.2	<<	N/A	15-16	N/A	6.97e-101	8.71e-77	[], []
21	Unknown_ID	26	75	XAG	N/A	N/A	1-6,9-75	6-9	BA.1.1.14 + BA.2.9	<<	N/A	8-9	N/A	2.59e-237	7.86e-43	[], []
22	Unknown_ID	10	99	XCQ	N/A	N/A	1-89,90-99		XBB.2.3.15 + HA.1	>>	N/A	89-90	N/A	1.97e-26	2.21e-102	[], []
23	Unknown_ID	75	74	XL	N/A	N/A	1-8,10-74	8-10	BA.1.17.2 + BA.2	<<	N/A	8-9	N/A	9.28e-156	4.69e-37	[], []
24	Unknown_ID	66	78	XBG	N/A	N/A	1-23,24-78		BA.2.76 + BA.5.2	<<	N/A	23-24	N/A	8.95e-78	1.51e-43	[], []
26	Unknown_ID	52	86	XBT	N/A	N/A	1-13,14-39,40-86	13-40 -> 	BA.5.2.34 + BN.1 + BA.5.2.34	<<	N/A	13-14, 39-40	N/A	7.66e-97	1.11e-177	[], []
28	Unknown_ID	477	71	XAZ	N/A	N/A	1-4,9-71	4-9	CH.1.1.32 + BA.5	<<	N/A	4-5	N/A	3.21e-234	5.25e-09	[], []
29	Unknown_ID	2	113	XCU	N/A	N/A	1-7,10-47,48-113	7-48 -> 7-10	XBB.1.5 + XBC.1 + XBB.1.5	<<	N/A	9-10, 47-48	N/A	5.72e-305	0.00e+00	[], []
30	Unknown_ID	11	84	XBH	N/A	N/A	1-4,8-19,20-84	4-20 -> 4-8	BA.2.75.2 + BA.2.3.17 + BA.2.75.2	<<	N/A	4-5, 19-20	N/A	2.08e-62	3.80e-139	[], []
33	Unknown_ID	31	98	XCA	N/A	N/A	1-60,61-98		BA.2.75.2 + BQ.1.1.18	>>	N/A	60-61	N/A	6.32e-135	1.10e-167	[], []
34	Unknown_ID	163	75	XBE	N/A	N/A	1-63,64-75		BA.5.2.6 + CQ.2	>>	N/A	63-64	N/A	1.83e-31	9.81e-96	[], []
35	Unknown_ID	1	114	XCS	N/A	N/A	1-80,83-114	80-83	GK.1 + XBB.1.16.25	>>	N/A	82-83	N/A	4.13e-86	5.97e-165	[], []
36	Unknown_ID	57	73	XAA	N/A	N/A	1-7,8-73		BA.1.20 + BA.2	<<	N/A	7-8	N/A	2.25e-200	1.51e-35	[], []
37	Unknown_ID	12	128	XEB	N/A	N/A	1-3,4-128		EG.1.2 + XDP.3	<<	N/A	3-4	N/A	0.00e+00	1.15e-17	[], []
38	Unknown_ID	24	66	XV	N/A	N/A	1-11,13-66	11-13	BA.1.14 + BA.2.52	<<	N/A	12-13	N/A	1.17e-247	8.21e-153	[], []
39	Unknown_ID	17	115	XCZ	N/A	N/A	1-35,36-115		HK.1 + GK.1.1	<<	N/A	35-36	N/A	2.01e-171	1.74e-100	[], []
41	Unknown_ID	3	103	XDF	N/A	N/A	1-4,5-103		EG.10.1 + EG.5.1.3	<<	N/A	4-5	N/A	3.31e-103	2.38e-26	[], []
