genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
OK054469.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054469.1
KY693679.1	A.1	A.1.NmC2 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KY693679.1
OK054465.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054465.1
OK054399.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054399.1
OK054466.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054466.1
MW122387.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW122387.1
OK054445.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054445.1
OK054487.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054487.1
MF098767.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MF098767.1
OK054391.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054391.1
OK054424.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054424.1
OK054448.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054448.1
OK054410.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054410.1
OK054404.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054404.1
OK054429.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054429.1
OK054452.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054452.1
