--- Analyzing Designations by Continent (Percentages) ---

  Designation: A.D.3.3, Percentage: 11.62%
  Designation: A.D.4.NmC1, Percentage: 10.27%
  Designation: A.D, Percentage: 9.59%
  Designation: A.3.1, Percentage: 6.62%
  Designation: A.D.1, Percentage: 4.59%
  Designation: A.D.1.2, Percentage: 4.46%
  Designation: A.D.3.12, Percentage: 4.05%
  Designation: A.3.1.1, Percentage: 3.24%
  Designation: A.D.1.5, Percentage: 3.11%
  Designation: A.D.NmC2, Percentage: 2.43%
  Designation: A.D.3, Percentage: 2.30%
  Designation: A.D.5.1, Percentage: 1.22%
  Designation: A.D.5.3, Percentage: 1.08%
  Designation: A.D.2, Percentage: 0.54%
  Designation: A.D.3.NmC1, Percentage: 0.41%
  Designation: A.D.5.2, Percentage: 0.41%
  Designation: A.D.1.8, Percentage: 0.27%
  Designation: A.D.2.2.NmC1, Percentage: 0.27%
  Designation: A.D.5, Percentage: 0.27%
  Designation: A.D.2.1, Percentage: 0.14%
  Designation: A.D.2.2.1, Percentage: 0.14%
  Designation: A.D.2.NmC1, Percentage: 0.14%
  Designation: A.D.3.6, Percentage: 0.14%
  Designation: A.D.NmC1, Percentage: 0.14%


--- Analyzing Designations by Country (Percentages) ---

Country:  Argentina (Total observed designations in this group: 265)
  Designation: A.D.3.3, Percentage: 30.19%
  Designation: A.D.4.NmC2, Percentage: 24.15%
  Designation: A.D.4.NmC1, Percentage: 16.23%
  Designation: A.D.3.12, Percentage: 10.57%
  Designation: A.D.1.2, Percentage: 5.28%
  Designation: A.D.1.5, Percentage: 4.53%
  Designation: A.D.3, Percentage: 3.40%
  Designation: A.D.5.1, Percentage: 3.02%
  Designation: A.D.3.NmC1, Percentage: 1.13%
  Designation: A.D.5.3, Percentage: 1.13%
  Designation: A.D.1.8, Percentage: 0.38%

Country:  Australia (Total observed designations in this group: 682)
  Designation: A.D.1.3, Percentage: 22.14%
  Designation: A.D.1.2, Percentage: 17.30%
  Designation: A.D.3.3, Percentage: 15.84%
  Designation: A.D, Percentage: 13.64%
  Designation: A.D.1, Percentage: 8.06%
  Designation: A.D.2.2.NmC1, Percentage: 4.11%
  Designation: A.D.3.12, Percentage: 3.37%
  Designation: A.D.5.1, Percentage: 3.37%
  Designation: A.D.3.6, Percentage: 2.35%
  Designation: A.D.2, Percentage: 1.61%
  Designation: A.D.2.1, Percentage: 1.47%
  Designation: A.D.2.2, Percentage: 1.03%
  Designation: A.D.2.2.1, Percentage: 1.03%
  Designation: A.D.2.NmC1, Percentage: 1.03%
  Designation: A.D.NmC2, Percentage: 1.03%
  Designation: A.D.5.3, Percentage: 0.73%
  Designation: A.D.NmC1, Percentage: 0.59%
  Designation: A.D.1.4, Percentage: 0.29%
  Designation: A.D.1.7, Percentage: 0.29%
  Designation: A.D.3.4, Percentage: 0.29%
  Designation: A.2.1, Percentage: 0.15%
  Designation: A.3.1.NmC2, Percentage: 0.15%
  Designation: A.D.2.NmC2, Percentage: 0.15%

Country:  Austria (Total observed designations in this group: 6)
  Designation: A.D.5.2, Percentage: 33.33%
  Designation: A.D.1.10, Percentage: 16.67%
  Designation: A.D.1.2, Percentage: 16.67%
  Designation: A.D.3.12, Percentage: 16.67%
  Designation: A.D.3.8, Percentage: 16.67%

Country:  Bangladesh (Total observed designations in this group: 15)
  Designation: A.D.5, Percentage: 46.67%
  Designation: A.D.5.NmC1, Percentage: 26.67%
  Designation: A.3.1, Percentage: 13.33%
  Designation: A.D.2.2.NmC1, Percentage: 13.33%

Country:  Belgium (Total observed designations in this group: 500)
  Designation: A.D.NmC2, Percentage: 42.60%
  Designation: A.D, Percentage: 12.60%
  Designation: A.3.1.1, Percentage: 10.00%
  Designation: A.D.4.NmC3, Percentage: 9.80%
  Designation: A.D.2, Percentage: 9.60%
  Designation: A.3.1, Percentage: 5.00%
  Designation: A.D.4.NmC1, Percentage: 3.20%
  Designation: A.D.5, Percentage: 1.60%
  Designation: A.D.3.6, Percentage: 1.40%
  Designation: A.D.2.2.NmC1, Percentage: 1.00%
  Designation: A.D.3.NmC2, Percentage: 0.80%
  Designation: A.D.1, Percentage: 0.60%
  Designation: A.D.2.NmC1, Percentage: 0.60%
  Designation: A.D.4.NmC2, Percentage: 0.40%
  Designation: A.D.NmC1, Percentage: 0.40%
  Designation: A.D.1.9, Percentage: 0.20%
  Designation: A.D.5.2, Percentage: 0.20%

Country:  Brazil (Total observed designations in this group: 452)
  Designation: A.D.4.NmC3, Percentage: 21.02%
  Designation: A.D.4.NmC2, Percentage: 16.81%
  Designation: A.D, Percentage: 15.71%
  Designation: A.3.1, Percentage: 10.84%
  Designation: A.D.1, Percentage: 7.52%
  Designation: A.D.4.NmC1, Percentage: 6.19%
  Designation: A.3.1.1, Percentage: 5.09%
  Designation: A.D.1.2, Percentage: 4.20%
  Designation: A.D.NmC2, Percentage: 3.98%
  Designation: A.D.1.5, Percentage: 2.43%
