--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.1.10, Percentage: 0.16%
  Designation: B.1.3.NmC1, Percentage: 0.16%
  Designation: C.1.NmC1, Percentage: 0.16%
  Designation: A, Percentage: 0.13%
  Designation: A.1.NmC3, Percentage: 0.13%
  Designation: B.1.22.NmC1, Percentage: 0.13%
  Designation: B.1.8, Percentage: 0.13%
  Designation: A.1, Percentage: 0.10%
  Designation: B.1.15, Percentage: 0.10%
  Designation: B.1.17.NmC4, Percentage: 0.10%
  Designation: B.1.2.NmC5, Percentage: 0.10%
  Designation: B.1.20, Percentage: 0.10%
  Designation: A.2, Percentage: 0.06%
  Designation: A.2.2, Percentage: 0.06%
  Designation: A.2.3, Percentage: 0.06%
  Designation: A.3, Percentage: 0.06%
  Designation: B.1.11, Percentage: 0.06%
  Designation: B.1.2.NmC1, Percentage: 0.06%
  Designation: B.1.20.NmC1, Percentage: 0.06%
  Designation: B.1.4, Percentage: 0.06%
  Designation: B.1.12, Percentage: 0.03%
  Designation: B.1.12.NmC2, Percentage: 0.03%
  Designation: B.1.16, Percentage: 0.03%
  Designation: F.1, Percentage: 0.03%
  Designation: F.3, Percentage: 0.03%
  Designation: F.6, Percentage: 0.03%

Continent: NorthAmerica (Total observed designations in this group: 4518)
  Designation: B.1.NmC2, Percentage: 5.71%
  Designation: B.1, Percentage: 5.53%
  Designation: B.1.13, Percentage: 5.53%
  Designation: B.1.NmC10, Percentage: 4.74%
  Designation: B.1.13.NmC2, Percentage: 4.69%
  Designation: B.1.1, Percentage: 4.25%
  Designation: B.1.17.NmC6, Percentage: 4.23%
  Designation: B.1.13.NmC1, Percentage: 3.28%
  Designation: B.1.17.NmC2, Percentage: 3.14%
  Designation: B.1.NmC7, Percentage: 2.97%
  Designation: B.1.17.NmC1, Percentage: 2.88%
  Designation: F.1, Percentage: 2.79%
  Designation: B.1.17.NmC4, Percentage: 2.50%
  Designation: A.1.NmC1, Percentage: 2.28%
  Designation: B.1.2, Percentage: 2.12%
  Designation: B.1.20.NmC1, Percentage: 1.99%
  Designation: B.1.13.NmC3, Percentage: 1.93%
  Designation: B.1.17.NmC5, Percentage: 1.93%
  Designation: B.1.20, Percentage: 1.86%
  Designation: B.1.12, Percentage: 1.81%
  Designation: B.1.21, Percentage: 1.66%
  Designation: F.1.NmC1, Percentage: 1.57%
  Designation: B.1.18, Percentage: 1.51%
  Designation: F.3, Percentage: 1.51%
  Designation: B.1.3, Percentage: 1.46%
  Designation: B.1.2.NmC6, Percentage: 1.35%
  Designation: B.1.11, Percentage: 1.31%
  Designation: A.1.NmC2, Percentage: 1.24%
  Designation: A.1.NmC3, Percentage: 1.24%
  Designation: B.1.2.NmC1, Percentage: 1.20%
  Designation: B.1.3.NmC1, Percentage: 1.17%
  Designation: B.1.12.NmC1, Percentage: 1.11%
  Designation: B.1.7.NmC1, Percentage: 1.08%
  Designation: B.1.2.NmC2, Percentage: 1.04%
  Designation: B.1.7, Percentage: 0.91%
  Designation: B.1.8, Percentage: 0.89%
  Designation: B.1.11.NmC2, Percentage: 0.80%
  Designation: B.1.11.NmC1, Percentage: 0.77%
  Designation: F.2, Percentage: 0.73%
  Designation: B.1.17.NmC3, Percentage: 0.71%
  Designation: F.4, Percentage: 0.71%
  Designation: F.6, Percentage: 0.71%
  Designation: B.1.NmC4, Percentage: 0.66%
  Designation: B.1.4, Percentage: 0.60%
  Designation: B.1.2.NmC3, Percentage: 0.58%
  Designation: B.1.1.NmC1, Percentage: 0.55%
  Designation: B.1.3.NmC2, Percentage: 0.55%
  Designation: B.1.12.NmC2, Percentage: 0.53%
  Designation: B.1.8.NmC2, Percentage: 0.53%
  Designation: B.1.6, Percentage: 0.49%
  Designation: B.1.2.NmC4, Percentage: 0.46%
  Designation: B.1.8.NmC1, Percentage: 0.46%
  Designation: B.1.22.NmC1, Percentage: 0.42%
  Designation: F.1.NmC2, Percentage: 0.42%
  Designation: B.1.2.NmC5, Percentage: 0.40%
  Designation: B.1.14, Percentage: 0.33%
  Designation: B.1.17, Percentage: 0.33%
  Designation: B.1.NmC9, Percentage: 0.33%
  Designation: E.2, Percentage: 0.20%
  Designation: C.1.NmC1, Percentage: 0.18%
  Designation: A.2.2, Percentage: 0.13%
  Designation: B.1.NmC1, Percentage: 0.13%
  Designation: B.1.19, Percentage: 0.11%
  Designation: B.1.5, Percentage: 0.11%
  Designation: C.1.1, Percentage: 0.09%
  Designation: F.5, Percentage: 0.09%
  Designation: A, Percentage: 0.07%
  Designation: E.3, Percentage: 0.07%
  Designation: A.2, Percentage: 0.04%
  Designation: A.2.1, Percentage: 0.04%
  Designation: B.1.10, Percentage: 0.04%
  Designation: E.1, Percentage: 0.04%
  Designation: F.2.NmC1, Percentage: 0.04%
  Designation: A.2.3, Percentage: 0.02%
  Designation: B.1.9, Percentage: 0.02%
  Designation: B.1.NmC3, Percentage: 0.02%
  Designation: C.1, Percentage: 0.02%
  Designation: C.1.1.NmC1, Percentage: 0.02%
  Designation: F.2.NmC2, Percentage: 0.02%

Continent: Oceania (Total observed designations in this group: 204)
  Designation: B.1.13, Percentage: 23.53%
  Designation: F.2.NmC1, Percentage: 19.12%
  Designation: F.2.NmC2, Percentage: 17.16%
  Designation: B.1.13.NmC1, Percentage: 12.25%
  Designation: B.1.1, Percentage: 5.88%
  Designation: B.1.13.NmC3, Percentage: 3.92%
  Designation: F.1.NmC2, Percentage: 3.92%
  Designation: F.2, Percentage: 2.45%
  Designation: C.1.1, Percentage: 1.96%
  Designation: B.1.NmC4, Percentage: 1.47%
