--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.E.1.7, Percentage: 0.21%
  Designation: B.D.E.7, Percentage: 0.12%
  Designation: B.D.3, Percentage: 0.06%
  Designation: B.D.E.1.1, Percentage: 0.06%

Continent: Oceania (Total observed designations in this group: 489)
  Designation: B.D.1, Percentage: 33.74%
  Designation: B.D.4.1.2, Percentage: 30.06%
  Designation: B.D.E.4, Percentage: 19.43%
  Designation: B.D.E.5, Percentage: 8.38%
  Designation: B.D.4.1.1, Percentage: 6.95%
  Designation: B.D.4.1.3, Percentage: 0.61%
  Designation: B.D.E.1, Percentage: 0.41%
  Designation: B.D.E.6, Percentage: 0.20%
  Designation: B.D.E.7, Percentage: 0.20%

Continent: SouthAmerica (Total observed designations in this group: 596)
  Designation: B.D.4.1.2, Percentage: 18.96%
  Designation: B.D.E.4, Percentage: 17.79%
  Designation: B.D.4.1.1, Percentage: 12.42%
  Designation: B.D.3, Percentage: 11.91%
  Designation: B.D.1, Percentage: 9.90%
  Designation: B.D, Percentage: 9.56%
  Designation: B.D.E.1.1, Percentage: 6.88%
  Designation: B.D.E.3, Percentage: 5.70%
  Designation: B.D.E.1, Percentage: 1.85%
  Designation: B.D.1.1, Percentage: 1.68%
  Designation: B.D.E.1.2, Percentage: 1.68%
  Designation: B.D.4.1.3, Percentage: 1.34%
  Designation: B.D.E.5, Percentage: 0.34%


--- Analyzing Designations by Country (Percentages) ---

Country:  Argentina (Total observed designations in this group: 297)
  Designation: B.D.4.1.2, Percentage: 33.00%
  Designation: B.D.3, Percentage: 20.20%
  Designation: B.D.E.1.1, Percentage: 13.80%
  Designation: B.D, Percentage: 11.78%
  Designation: B.D.E.4, Percentage: 11.78%
  Designation: B.D.E.3, Percentage: 6.06%
  Designation: B.D.E.1.2, Percentage: 3.37%

Country:  Australia (Total observed designations in this group: 448)
  Designation: B.D.1, Percentage: 36.83%
  Designation: B.D.4.1.2, Percentage: 23.66%
  Designation: B.D.E.4, Percentage: 21.21%
  Designation: B.D.E.5, Percentage: 9.15%
  Designation: B.D.4.1.1, Percentage: 7.59%
  Designation: B.D.4.1.3, Percentage: 0.67%
  Designation: B.D.E.1, Percentage: 0.45%
  Designation: B.D.E.6, Percentage: 0.22%
  Designation: B.D.E.7, Percentage: 0.22%

Country:  Austria (Total observed designations in this group: 2)
  Designation: B.D.E.4, Percentage: 100.00%

Country:  Bangladesh (Total observed designations in this group: 12)
  Designation: B.D.1, Percentage: 100.00%

Country:  Belgium (Total observed designations in this group: 540)
  Designation: B.D.1, Percentage: 50.19%
  Designation: B.D.1.1, Percentage: 30.93%
  Designation: B.D.E.3, Percentage: 8.52%
  Designation: B.D.4.1.1, Percentage: 7.41%
  Designation: B.D, Percentage: 1.30%
  Designation: B.D.4.1.3, Percentage: 1.11%
  Designation: B.D.4.1.2, Percentage: 0.19%
  Designation: B.D.E.4, Percentage: 0.19%
  Designation: B.D.E.5, Percentage: 0.19%

Country:  Brazil (Total observed designations in this group: 272)
  Designation: B.D.4.1.1, Percentage: 27.21%
  Designation: B.D.E.4, Percentage: 26.10%
  Designation: B.D.1, Percentage: 20.22%
  Designation: B.D, Percentage: 8.09%
  Designation: B.D.E.3, Percentage: 5.88%
  Designation: B.D.3, Percentage: 4.04%
  Designation: B.D.1.1, Percentage: 3.68%
  Designation: B.D.4.1.3, Percentage: 2.94%
  Designation: B.D.4.1.2, Percentage: 0.74%
  Designation: B.D.E.5, Percentage: 0.74%
  Designation: B.D.E.1, Percentage: 0.37%

Country:  Bulgaria (Total observed designations in this group: 36)
  Designation: B.D.3, Percentage: 33.33%
  Designation: B.D.E.3, Percentage: 30.56%
  Designation: B.D.1, Percentage: 25.00%
  Designation: B.D, Percentage: 11.11%

Country:  Burkina Faso (Total observed designations in this group: 1)
  Designation: B.D.1, Percentage: 100.00%

Country:  Cambodia (Total observed designations in this group: 2)
  Designation: B.D.1, Percentage: 50.00%
  Designation: B.D.E.3, Percentage: 50.00%

Country:  Cameroon (Total observed designations in this group: 59)
  Designation: B.D.1, Percentage: 77.97%
  Designation: B.D.1.1, Percentage: 22.03%

Country:  Canada (Total observed designations in this group: 150)
  Designation: B.D.4.1.1, Percentage: 44.00%
  Designation: B.D.E.4, Percentage: 43.33%
  Designation: B.D.4.1.3, Percentage: 10.67%
  Designation: B.D.4.1.2, Percentage: 1.33%
  Designation: B.D.1, Percentage: 0.67%

Country:  China (Total observed designations in this group: 2174)
  Designation: B.D.1, Percentage: 53.59%
  Designation: B.D.E.3, Percentage: 12.47%
  Designation: B.D.4.1.1, Percentage: 10.44%
  Designation: B.D.4.1.3, Percentage: 8.79%
  Designation: B.D, Percentage: 5.11%
  Designation: B.D.E.4, Percentage: 4.14%
  Designation: B.D.3, Percentage: 2.81%
  Designation: B.D.E.1, Percentage: 1.20%
  Designation: B.D.4.1.2, Percentage: 0.83%
  Designation: B.3, Percentage: 0.51%
  Designation: B.D.E.1.2, Percentage: 0.09%
  Designation: B.D.1.1, Percentage: 0.05%

Country:  Croatia (Total observed designations in this group: 206)
  Designation: B.D.1, Percentage: 100.00%

Country:  Cuba (Total observed designations in this group: 66)
  Designation: B.D.1, Percentage: 48.48%
  Designation: B.D.3, Percentage: 36.36%
  Designation: B.D, Percentage: 15.15%

Country:  Finland (Total observed designations in this group: 120)
  Designation: B.D.4.1.1, Percentage: 47.50%
  Designation: B.D.E.4, Percentage: 46.67%
  Designation: B.D.4.1.3, Percentage: 3.33%
  Designation: B.D.4.1.2, Percentage: 2.50%

Country:  France (Total observed designations in this group: 161)
  Designation: B.D.E.1, Percentage: 26.71%
  Designation: B.D.1, Percentage: 19.88%
  Designation: B.D.1.1, Percentage: 11.80%
  Designation: B.D.4.1.3, Percentage: 10.56%
  Designation: B.D.4.1.1, Percentage: 8.70%
  Designation: B.D.4.1.2, Percentage: 6.83%
  Designation: B.D.E.4, Percentage: 6.21%
  Designation: B.D.E.1.2, Percentage: 3.73%
  Designation: B.D, Percentage: 2.48%
  Designation: B.D.E.5, Percentage: 2.48%
