--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.E.1, Percentage: 14.35%
  Designation: B.D.E.4, Percentage: 8.08%
  Designation: B.D.4.1.2, Percentage: 6.06%
  Designation: B.D.4.1.1.NmC2, Percentage: 4.72%
  Designation: B.D.1.NmC1, Percentage: 3.31%
  Designation: B.D.E.1.2, Percentage: 1.52%
  Designation: B.D.E.3.NmC2, Percentage: 1.23%
  Designation: B.D.E.5, Percentage: 0.79%
  Designation: B.D.4.1.1.NmC3, Percentage: 0.73%
  Designation: B.D.4.NmC2, Percentage: 0.64%
  Designation: B.D.4.1.3.NmC2, Percentage: 0.38%
  Designation: B.D.NmC1, Percentage: 0.29%
  Designation: B.D.E.6, Percentage: 0.23%
  Designation: B.D.E.1.7, Percentage: 0.21%
  Designation: B.D.4, Percentage: 0.18%
  Designation: B.D.1.1, Percentage: 0.15%
  Designation: B.D.3.NmC1, Percentage: 0.12%
  Designation: B.D.4.NmC4, Percentage: 0.12%
  Designation: B.D.E.7, Percentage: 0.12%
  Designation: B.D.4.NmC1, Percentage: 0.09%
  Designation: B.D.1, Percentage: 0.06%
  Designation: B.D.E.1.1, Percentage: 0.06%
  Designation: B.D.1.NmC4, Percentage: 0.03%
  Designation: B.D.2.NmC1, Percentage: 0.03%
  Designation: B.D.NmC4, Percentage: 0.03%

Continent: Oceania (Total observed designations in this group: 489)
  Designation: B.D.4.1.2, Percentage: 30.06%
  Designation: B.D.E.4, Percentage: 20.65%
  Designation: B.D.2, Percentage: 14.93%
  Designation: B.D.E.2, Percentage: 9.82%
  Designation: B.D.E.5, Percentage: 7.16%
  Designation: B.D.4.1.1, Percentage: 3.89%
  Designation: B.D.2.NmC1, Percentage: 2.86%
  Designation: B.D.4, Percentage: 2.45%
  Designation: B.D.4.1.1.NmC1, Percentage: 2.45%
  Designation: B.D.4.1.NmC1, Percentage: 1.23%
  Designation: B.D.4.NmC4, Percentage: 1.23%
  Designation: B.D.4.1.3.NmC1, Percentage: 0.61%
  Designation: B.D.2.NmC2, Percentage: 0.41%
  Designation: B.D.2.NmC3, Percentage: 0.41%
  Designation: B.D.E.1, Percentage: 0.41%
  Designation: B.D.1.NmC1, Percentage: 0.20%
  Designation: B.D.1.NmC4, Percentage: 0.20%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.20%
  Designation: B.D.4.1.1.NmC3, Percentage: 0.20%
  Designation: B.D.E.3.NmC3, Percentage: 0.20%
  Designation: B.D.E.6, Percentage: 0.20%
  Designation: B.D.E.7, Percentage: 0.20%

Continent: SouthAmerica (Total observed designations in this group: 596)
  Designation: B.D.4.1.2, Percentage: 18.96%
  Designation: B.D.E.4, Percentage: 17.95%
  Designation: B.D.NmC1, Percentage: 12.25%
  Designation: B.D.4.1.1, Percentage: 8.39%
  Designation: B.D.E.1.1, Percentage: 6.88%
  Designation: B.D.E.3.NmC1, Percentage: 5.54%
  Designation: B.D.4.1.1.NmC1, Percentage: 5.03%
  Designation: B.D.4, Percentage: 4.87%
  Designation: B.D, Percentage: 3.02%
  Designation: B.D.4.NmC2, Percentage: 3.02%
  Designation: B.D.NmC4, Percentage: 3.02%
  Designation: B.D.E.3.NmC3, Percentage: 2.68%
  Designation: B.D.4.NmC1, Percentage: 1.85%
  Designation: B.D.E.1, Percentage: 1.85%
  Designation: B.D.E.1.2, Percentage: 1.68%
  Designation: B.D.1.NmC1, Percentage: 0.67%
  Designation: B.D.3.NmC1, Percentage: 0.67%
  Designation: B.D.1, Percentage: 0.34%
  Designation: B.D.1.1, Percentage: 0.34%
  Designation: B.D.2, Percentage: 0.34%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.34%
  Designation: B.D.4.NmC4, Percentage: 0.17%
  Designation: B.D.E.5, Percentage: 0.17%


--- Analyzing Designations by Country (Percentages) ---

Country:  Argentina (Total observed designations in this group: 297)
  Designation: B.D.4.1.2, Percentage: 33.00%
  Designation: B.D.NmC1, Percentage: 18.52%
  Designation: B.D.E.1.1, Percentage: 13.80%
  Designation: B.D.E.4, Percentage: 11.78%
  Designation: B.D.E.3.NmC1, Percentage: 8.75%
  Designation: B.D, Percentage: 5.39%
  Designation: B.D.NmC4, Percentage: 5.39%
  Designation: B.D.E.1.2, Percentage: 3.37%

Country:  Australia (Total observed designations in this group: 448)
  Designation: B.D.4.1.2, Percentage: 23.66%
  Designation: B.D.E.4, Percentage: 22.54%
  Designation: B.D.2, Percentage: 16.29%
  Designation: B.D.E.2, Percentage: 10.71%
  Designation: B.D.E.5, Percentage: 7.81%
  Designation: B.D.4.1.1, Percentage: 4.24%
  Designation: B.D.2.NmC1, Percentage: 3.12%
  Designation: B.D.4, Percentage: 2.68%
  Designation: B.D.4.1.1.NmC1, Percentage: 2.68%
  Designation: B.D.4.1.NmC1, Percentage: 1.34%
  Designation: B.D.4.NmC4, Percentage: 1.34%
  Designation: B.D.4.1.3.NmC1, Percentage: 0.67%
  Designation: B.D.2.NmC2, Percentage: 0.45%
  Designation: B.D.2.NmC3, Percentage: 0.45%
  Designation: B.D.E.1, Percentage: 0.45%
  Designation: B.D.1.NmC1, Percentage: 0.22%
  Designation: B.D.1.NmC4, Percentage: 0.22%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.22%
  Designation: B.D.4.1.1.NmC3, Percentage: 0.22%
  Designation: B.D.E.3.NmC3, Percentage: 0.22%
  Designation: B.D.E.6, Percentage: 0.22%
  Designation: B.D.E.7, Percentage: 0.22%

Country:  Austria (Total observed designations in this group: 2)
  Designation: B.D.E.4, Percentage: 100.00%

Country:  Bangladesh (Total observed designations in this group: 12)
  Designation: B.D.4.NmC1, Percentage: 83.33%
  Designation: B.D.4, Percentage: 16.67%

Country:  Belgium (Total observed designations in this group: 540)
  Designation: B.D.2.NmC3, Percentage: 31.11%
  Designation: B.D.4.NmC1, Percentage: 23.89%
  Designation: B.D.1.1, Percentage: 12.59%
  Designation: B.D.4.1.1.NmC1, Percentage: 7.96%
  Designation: B.D.4.NmC4, Percentage: 6.85%
  Designation: B.D.E.3.NmC1, Percentage: 4.63%
  Designation: B.D.2.NmC1, Percentage: 3.33%
  Designation: B.D.E.3, Percentage: 1.85%
  Designation: B.D.E.3.NmC3, Percentage: 1.67%
  Designation: B.D.4, Percentage: 1.11%
  Designation: B.D.E.2, Percentage: 1.11%
  Designation: B.D.NmC1, Percentage: 1.11%
  Designation: B.D.2, Percentage: 0.56%
  Designation: B.D.4.1.3.NmC1, Percentage: 0.37%
  Designation: B.D.4.NmC3, Percentage: 0.37%
  Designation: B.D.3.NmC1, Percentage: 0.19%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.19%
  Designation: B.D.4.1.2, Percentage: 0.19%
  Designation: B.D.4.NmC2, Percentage: 0.19%
  Designation: B.D.E.3.NmC2, Percentage: 0.19%
  Designation: B.D.E.4, Percentage: 0.19%
  Designation: B.D.E.5, Percentage: 0.19%
  Designation: B.D.NmC4, Percentage: 0.19%

Country:  Brazil (Total observed designations in this group: 272)
  Designation: B.D.E.4, Percentage: 26.47%
  Designation: B.D.4.1.1, Percentage: 18.38%
  Designation: B.D.4.1.1.NmC1, Percentage: 11.03%
  Designation: B.D.4, Percentage: 10.66%
  Designation: B.D.4.NmC2, Percentage: 6.62%
  Designation: B.D.NmC1, Percentage: 6.62%
  Designation: B.D.E.3.NmC3, Percentage: 5.88%
  Designation: B.D.4.NmC1, Percentage: 4.04%
  Designation: B.D.E.3.NmC1, Percentage: 2.57%
  Designation: B.D.3.NmC1, Percentage: 1.47%
  Designation: B.D, Percentage: 0.74%
  Designation: B.D.1, Percentage: 0.74%
  Designation: B.D.1.1, Percentage: 0.74%
  Designation: B.D.2, Percentage: 0.74%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.74%
  Designation: B.D.4.1.2, Percentage: 0.74%
  Designation: B.D.NmC4, Percentage: 0.74%
  Designation: B.D.4.NmC4, Percentage: 0.37%
  Designation: B.D.E.1, Percentage: 0.37%
  Designation: B.D.E.5, Percentage: 0.37%

Country:  Bulgaria (Total observed designations in this group: 36)
  Designation: B.D.E.3.NmC1, Percentage: 72.22%
  Designation: B.D.E.2, Percentage: 22.22%
  Designation: B.D.2.NmC1, Percentage: 2.78%
